Wyniki_obliczen_Geodezyjnych; X, Y, Z, x1992, y1992, x2000, y2000.
          X                    Y                    Z                  x1992                y1992                x2000                y2000        
          3664940.500          1409153.590          5009571.170           472071.341           639114.491          5773722.721          7502160.783
          3664940.510          1409153.580          5009571.167           472071.334           639114.478          5773722.715          7502160.770
          3664940.520          1409153.570          5009571.167           472071.329           639114.465          5773722.710          7502160.757
          3664940.530          1409153.560          5009571.168           472071.325           639114.453          5773722.706          7502160.744
          3664940.520          1409153.590          5009571.170           472071.326           639114.484          5773722.706          7502160.776
          3664940.514          1409153.584          5009571.166           472071.330           639114.481          5773722.710          7502160.773
          3664940.525          1409153.575          5009571.166           472071.324           639114.468          5773722.704          7502160.760
          3664940.533          1409153.564          5009571.169           472071.323           639114.455          5773722.703          7502160.747
          3664940.515          1409153.590          5009571.170           472071.330           639114.486          5773722.710          7502160.778
          3664940.514          1409153.584          5009571.169           472071.332           639114.481          5773722.712          7502160.773
          3664940.515          1409153.595          5009571.169           472071.328           639114.491          5773722.708          7502160.783
          3664940.513          1409153.584          5009571.171           472071.334           639114.481          5773722.714          7502160.773
